code,name_of_the_station,uf,january,february,march,april,may,june,july,august,september,october,november,december,year,longitude,latitude
82879,SAO JOAO DO PIAUI,PI,145.3,111.1,143.4,82.7,27.4,5.5,0.8,0.1,3.2,24.6,74.2,91.4,709.7,-42.25,-8.35
82578,TERESINA,PI,196.8,239.1,286.9,265.7,120.6,14.7,10.6,12.1,13,19.5,45.9,100.1,1325,-42.81666666,-5.08333333
82870,VALE DO GURGUEIA (CRISTIANO CASTRO),PI,150.5,147.4,158.4,115.1,42.8,6.2,0.1,2.6,9.2,69.8,94.9,128.9,925.9,-43.71666666,-8.41666666
83783,CAMPO MOURAO,PR,213.2,159.6,133.7,123.4,142.3,97,75.8,69.4,142.7,165.8,143.2,171,1637.1,-52.36666666,-24.05
83813,CASTRO,PR,196.8,150.3,136.1,90.7,125.3,86.2,92.1,68.1,132.2,148.8,123.2,135.6,1485.4,-50,-24.78333333
83842,CURITIBA,PR,218.3,166.2,147,95.7,113.5,94.1,108.3,74,141.4,138.7,124.4,154.2,1575.8,-49.26666666,-25.43333333
83775,GUAIRA,PR,168.9,134.9,135.2,167.7,202.4,106.2,81.9,76.3,124.8,165.4,135.1,166,1664.8,-54.25,-24.08333333
83836,IRATI,PR,196.6,132.5,121.1,118.9,127.2,119.5,116.9,75.3,155.1,172,137.7,141.4,1614.2,-50.63333333,-25.46666666
83811,IVAI,PR,202,128.7,133.1,114.1,154.8,96.5,118.3,85.8,152.1,176.3,126.6,151.3,1639.6,-50.85,-25
83769,JACAREZINHO,PR,217.5,183.9,136.6,108.1,116.1,70.4,38.8,39.7,99.2,113.4,152,186.7,1462.4,-49.96666666,-23.15
83766,LONDRINA,PR,243.2,179.8,134.9,94.3,109.7,86.4,66.1,54.3,102.6,139.7,150.9,221.1,1583,-51.13333333,-23.31666666
83767,MARINGA,PR,218.6,197.6,139.5,120.2,128.5,90.4,61.7,56.5,139.8,153.5,156.3,180.3,1642.9,-51.91666666,-23.4
83844,PARANAGUA,PR,363.3,304.6,270.7,164.9,121.2,99.8,112.2,82.5,162.8,171,196.7,234.6,2284.3,-48.51666666,-25.53333333
83007,ALTO DA BOA VISTA,RJ,209.1,174.8,215.7,203.3,188.5,132.7,182.3,141.9,223,203.7,217,273.8,2365.8,-43.27944443,-22.96583333
83788,ANGRA DOS REIS,RJ,235.6,188.5,206,166.9,114,71.5,90.1,54,120.9,141.6,148.9,258,1796,-44.32944443,-23.01583333
83049,AVELAR (P.DO ALFERES),RJ,238.9,134,136.2,55.9,41.3,14.3,17.4,16.1,52.8,92.5,176.9,216.2,1192.5,-43.41666666,-22.35
83790,BANGU,RJ,204.9,148.7,155.7,108.7,74.8,56.4,43.5,38.8,81.2,80.9,105,152.4,1251,-43.45,-22.86666666
83698,CAMPOS,RJ,133.7,61.2,102.8,84.7,43.9,27.9,29.5,23.4,70.6,98.1,162.9,168.8,1007.5,-41.33277778,-21.7425
83807,CARMO,RJ,237.3,134.7,147.9,74.6,45.1,18,18.3,18.7,63.4,105.1,179.7,286.8,1329.6,-42.60611111,-21.93583333
83718,CORDEIRO,RJ,254.5,135.4,157.9,65.5,33.7,22.5,21.5,17.1,64.6,106,219.3,266.9,1364.9,-42.36444444,-22.02222221
83741,ECOLOGIA AGRICOLA,RJ,197.8,146.6,157.2,76.3,63.8,38.6,37.7,28.9,87,97.8,149.4,178.6,1259.7,-43.68333333,-22.8
83114,IGUABA GRANDE,RJ,112.2,57.8,102.9,70,69.7,38,63.7,32.5,62,63.4,99.9,117.3,889.4,-42.18333333,-22.83333333
83695,ITAPERUNA,RJ,201.3,110.8,127.4,77.9,35.6,21,15.1,21.1,63.6,98.3,190.3,251,1213.4,-41.9,-21.2
83089,MARICA,RJ,147.4,103.4,134.2,80.5,105.7,78.9,83.8,66.7,88.5,105.9,136.3,146.2,1277.5,-42.82999999,-22.92055554
83801,REALENGO,RJ,169.4,113.4,137.8,92.4,52.8,32.8,43.7,26.6,48.1,82.2,111.7,163.9,1074.8,-43.44138888,-22.87083332
